pk_column,requested_datetime,closed_date,updated_datetime,open,closed,service_name,lat,long,district,deltaDate
21024,2016-11-19T15:29:00,2016-12-10T00:02:00,2017-09-18T13:37:00,0,1,Graffiti,32.6913798787,-117.036817325,4,21
21025,2016-11-19T15:29:00,2016-12-10T00:02:00,2016-12-10T00:02:00,0,1,Graffiti,32.6913905237,-117.036842806,4,21
21026,2016-11-19T15:27:00,2016-12-09T00:02:00,2016-12-09T00:02:00,0,1,Graffiti,32.6851670025,-117.035375973,4,20
21027,2016-11-19T15:26:00,2016-12-10T00:02:00,2016-12-10T00:02:00,0,1,Graffiti,32.6803750266,-117.033240013,4,21
21029,2016-11-19T15:12:00,2016-12-21T00:02:00,2016-12-21T00:02:00,0,1,Graffiti,32.7497704704,-117.097190427,9,32
21030,2016-11-19T15:11:00,2017-10-27T07:45:00,2017-10-27T07:45:00,0,1,Graffiti,32.6808380429,-117.034287332,4,342
21033,2016-11-19T15:00:00,2016-12-16T00:01:00,2016-12-16T00:01:00,0,1,Graffiti,32.7220299899,-117.165958051,3,27
21034,2016-11-19T14:12:00,2016-11-26T00:02:00,2016-11-26T00:02:00,0,1,Graffiti,32.704015472,-117.028876394,4,7
21035,2016-11-19T14:12:00,2016-11-24T00:02:00,2016-11-24T00:02:00,0,1,Graffiti,32.7042389335,-117.029108154,4,5
21036,2016-11-19T14:11:00,2016-11-24T00:02:00,2016-11-24T00:02:00,0,1,Graffiti,32.7050976176,-117.028775225,4,5
21037,2016-11-19T14:11:00,2016-11-26T00:02:00,2016-11-26T00:02:00,0,1,Graffiti,32.7057413059,-117.027350469,4,7
21038,2016-11-19T14:10:00,2016-11-26T00:02:00,2016-11-26T00:02:00,0,1,Graffiti,32.7059414238,-117.02630206,4,7
21039,2016-11-19T14:09:00,2016-11-26T00:02:00,2016-11-26T00:02:00,0,1,Graffiti,32.7061023983,-117.02637976,4,7
21040,2016-11-19T14:08:00,2016-11-26T00:02:00,2016-11-26T00:02:00,0,1,Graffiti,32.7063064557,-117.025676435,4,7
21042,2016-11-19T14:07:00,2016-11-26T00:02:00,2016-11-26T00:02:00,0,1,Graffiti,32.7476897138,-117.103381707,9,7
21043,2016-11-19T14:04:00,2017-06-02T13:46:00,2017-06-02T13:46:00,0,1,Graffiti,32.712105182,-117.025879109,4,195
